,Unnamed: 0,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1447,715,2023,SE,FT,Data Scientist,140000,US,0,US,M
1219,47,2023,SE,FT,Data Scientist,185000,US,100,US,M
1245,194,2023,SE,FT,Data Scientist,190000,US,0,US,M
1244,195,2023,SE,FT,Data Scientist,170000,US,0,US,M
1237,116,2023,SE,FT,Data Scientist,120000,US,0,US,M
2153,2743,2022,SE,FT,Data Scientist,218000,US,0,US,M
3122,2436,2022,MI,FT,Data Scientist,120000,US,100,US,M
1220,46,2023,SE,FT,Data Scientist,212750,US,100,US,M
1218,48,2023,SE,FT,Data Scientist,262000,US,100,US,M
3050,2480,2022,SE,FT,Data Scientist,138938,US,0,US,M
1217,49,2023,SE,FT,Data Scientist,245000,US,100,US,M
1216,50,2023,SE,FT,Data Scientist,275300,US,100,US,M
1215,51,2023,SE,FT,Data Scientist,183500,US,100,US,M
1214,52,2023,SE,FT,Data Scientist,218500,US,100,US,M
1213,53,2023,SE,FT,Data Scientist,199098,US,100,US,M
3128,2455,2022,SE,FT,Data Scientist,180000,US,0,US,M
1246,193,2023,SE,FT,Data Scientist,186000,US,0,US,M
1247,192,2023,SE,FT,Data Scientist,228000,US,0,US,M
3096,2460,2022,SE,FT,Data Scientist,198440,US,0,US,L
3094,2461,2022,SE,FT,Data Scientist,144000,US,0,US,L
3091,2492,2022,SE,FT,Data Scientist,180000,US,100,US,M
1256,182,2023,MI,FT,Data Scientist,54685,GB,0,GB,M
1257,181,2023,MI,FT,Data Scientist,66837,GB,0,GB,M
3090,2493,2022,SE,FT,Data Scientist,140000,US,100,US,M
3089,2494,2022,SE,FT,Data Scientist,225000,US,0,US,M
3088,2495,2022,SE,FT,Data Scientist,156400,US,0,US,M
3066,2464,2022,SE,FT,Data Scientist,198440,US,0,US,M
3065,2465,2022,SE,FT,Data Scientist,144000,US,0,US,M
3060,2470,2022,MI,FT,Data Scientist,57872,GB,50,GB,M
3058,2472,2022,EN,FT,Data Scientist,39925,FR,50,FR,L
120,1322,2023,EN,FT,Data Scientist,110000,US,50,US,S
1282,214,2023,SE,FT,Data Scientist,176000,CA,0,CA,M
1283,213,2023,SE,FT,Data Scientist,224000,CA,0,CA,M
3129,2454,2022,SE,FT,Data Scientist,245000,US,0,US,M
1206,3,2023,SE,FT,Data Scientist,175000,CA,100,CA,M
1205,4,2023,SE,FT,Data Scientist,120000,CA,100,CA,M
1176,92,2023,SE,FT,Data Scientist,38631,ES,0,ES,M
3162,2582,2022,SE,FT,Data Scientist,185900,US,0,US,M
3161,2583,2022,SE,FT,Data Scientist,129300,US,0,US,M
3160,2584,2022,SE,FT,Data Scientist,225000,US,0,US,M
3159,2585,2022,SE,FT,Data Scientist,156400,US,0,US,M
3158,2586,2022,SE,FT,Data Scientist,185900,US,0,US,M
3157,2587,2022,SE,FT,Data Scientist,129300,US,0,US,M
3154,2590,2022,SE,FT,Data Scientist,155000,US,100,US,M
3153,2591,2022,SE,FT,Data Scientist,38000,US,100,US,M
3150,2594,2022,SE,FT,Data Scientist,155000,US,100,US,M
3149,2568,2022,MI,FT,Data Scientist,54000,BR,100,BR,M
442,1051,2023,SE,FT,Data Scientist,82365,US,0,US,M
3148,2409,2022,SE,FT,Data Scientist,156600,US,100,US,M
1174,94,2023,SE,FT,Data Scientist,70000,US,0,US,M
1175,93,2023,SE,FT,Data Scientist,105000,US,0,US,M
1177,91,2023,SE,FT,Data Scientist,48289,ES,0,ES,M
1202,7,2023,SE,FT,Data Scientist,219000,CA,0,CA,M
1180,58,2023,EX,FT,Data Scientist,258750,US,0,US,M
3145,2438,2022,MI,FT,Data Scientist,85000,US,100,US,M
3144,2439,2022,MI,FT,Data Scientist,78000,US,100,US,M
3141,2442,2022,SE,FT,Data Scientist,136000,US,100,US,M
3140,2443,2022,SE,FT,Data Scientist,104000,US,100,US,M
3139,2444,2022,SE,FT,Data Scientist,47280,ES,0,ES,M
3138,2445,2022,SE,FT,Data Scientist,37824,ES,0,ES,M
1191,18,2023,SE,FT,Data Scientist,150000,US,0,US,M
1192,17,2023,SE,FT,Data Scientist,170000,US,0,US,M
2154,2753,2022,SE,FT,Data Scientist,141525,US,100,US,M
3135,2437,2022,MI,FT,Data Scientist,100000,US,100,US,M
1199,10,2023,SE,FT,Data Scientist,90700,US,0,US,M
1200,9,2023,SE,FT,Data Scientist,147100,US,0,US,M
1201,8,2023,SE,FT,Data Scientist,141000,CA,0,CA,M
3051,2479,2022,SE,FT,Data Scientist,159699,US,0,US,M
3042,2211,2022,SE,FT,Data Scientist,140000,US,0,US,M
1446,716,2023,SE,FT,Data Scientist,297300,US,100,US,M
2924,1826,2022,SE,FT,Data Scientist,150000,US,0,US,M
2157,2750,2022,SE,FT,Data Scientist,207000,US,100,US,M
2903,592,2022,MI,FT,Data Scientist,73546,DE,100,DE,M
2906,249,2022,SE,FT,Data Scientist,88256,ES,100,GB,L
2913,1827,2022,SE,FT,Data Scientist,140000,US,0,US,M
1398,765,2023,MI,FT,Data Scientist,59020,ES,0,ES,M
1397,766,2023,MI,FT,Data Scientist,48289,ES,0,ES,M
2931,1816,2022,MI,FT,Data Scientist,13989,IN,100,IN,L
124,1318,2023,SE,FT,Data Scientist,140800,US,0,US,M
2932,1811,2022,EN,FT,Data Scientist,130000,US,0,US,M
2935,1746,2022,EN,FT,Data Scientist,100000,US,100,US,M
142,1344,2023,SE,FT,Data Scientist,185000,GB,0,GB,M
2944,1965,2022,SE,FT,Data Scientist,149850,US,0,US,M
1371,735,2023,MI,FT,Data Scientist,17022,IN,100,IN,L
2945,1964,2022,SE,FT,Data Scientist,249500,US,0,US,M
1661,486,2023,SE,FT,Data Scientist,200000,US,100,US,M
2158,2749,2022,SE,FT,Data Scientist,141525,US,100,US,M
2896,1069,2022,EN,FT,Data Scientist,168000,US,100,US,M
2895,1205,2022,EN,FT,Data Scientist,85000,US,0,US,M
1416,690,2023,MI,FT,Data Scientist,100000,US,0,US,M
1417,689,2023,MI,FT,Data Scientist,145000,US,0,US,M
2893,1347,2022,EN,FT,Data Scientist,180000,US,100,US,M
153,1345,2023,SE,FT,Data Scientist,120250,GB,0,GB,M
1422,698,2023,SE,FT,Data Scientist,160000,US,0,US,M
2891,1443,2022,MI,FT,Data Scientist,155000,US,100,US,L
154,1343,2023,SE,FT,Data Scientist,162500,US,0,US,M
1434,697,2023,SE,FT,Data Scientist,210000,US,0,US,M
1435,699,2023,MI,FT,Data Scientist,145000,US,0,US,M
2159,2748,2022,SE,FT,Data Scientist,191475,US,100,US,M
2872,1880,2022,SE,FT,Data Scientist,140000,US,0,US,M
2871,1882,2022,MI,FT,Data Scientist,150000,US,0,US,M
1445,717,2023,SE,FT,Data Scientist,198200,US,100,US,M
141,1301,2023,SE,FT,Data Scientist,90000,US,100,US,M
547,1634,2023,SE,FT,Data Scientist,172100,US,0,US,M
1363,743,2023,SE,FT,Data Scientist,105000,US,0,US,M
2990,1895,2022,MI,FT,Data Scientist,92350,GB,0,GB,M
1298,140,2023,SE,FT,Data Scientist,83270,US,100,US,M
1299,139,2023,SE,FT,Data Scientist,138784,US,100,US,M
125,1317,2023,SE,FT,Data Scientist,216100,US,0,US,M
3016,1944,2022,SE,FT,Data Scientist,190000,US,0,US,M
3014,1918,2022,MI,FT,Data Scientist,31795,IN,100,US,M
3013,1896,2022,MI,FT,Data Scientist,67723,GB,0,GB,M
128,1314,2023,SE,FT,Data Scientist,185000,US,100,US,M
129,1313,2023,SE,FT,Data Scientist,235000,US,100,US,M
131,1310,2023,SE,FT,Data Scientist,148750,US,0,US,M
132,1309,2023,SE,FT,Data Scientist,175000,US,0,US,M
134,1307,2023,SE,FT,Data Scientist,82365,US,0,US,M
2994,1915,2022,MI,FT,Data Scientist,145000,US,0,US,M
2993,1916,2022,MI,FT,Data Scientist,100000,US,0,US,M
135,1306,2023,SE,FT,Data Scientist,149076,US,0,US,M
2989,1945,2022,SE,FT,Data Scientist,150000,US,0,US,M
1362,744,2023,SE,FT,Data Scientist,70000,US,0,US,M
2986,1975,2022,SE,FT,Data Scientist,210000,US,100,US,M
2985,1976,2022,SE,FT,Data Scientist,150000,US,100,US,M
2980,1981,2022,SE,FT,Data Scientist,182750,US,100,US,M
2979,1982,2022,SE,FT,Data Scientist,161500,US,100,US,M
1344,150,2023,SE,FT,Data Scientist,160000,US,0,US,M
1345,149,2023,SE,FT,Data Scientist,195000,US,0,US,M
2970,1991,2022,SE,FT,Data Scientist,136000,US,100,US,M
1350,59,2023,EX,FT,Data Scientist,185000,US,0,US,M
2969,1992,2022,SE,FT,Data Scientist,104000,US,100,US,M
2156,2751,2022,SE,FT,Data Scientist,153000,US,100,US,M
2957,1952,2022,SE,FT,Data Scientist,47280,ES,0,ES,M
2956,1953,2022,SE,FT,Data Scientist,37824,ES,0,ES,M
2953,1956,2022,SE,FT,Data Scientist,175000,US,100,US,M
2952,1957,2022,SE,FT,Data Scientist,140000,US,100,US,M
341,1097,2023,SE,FT,Data Scientist,300240,US,0,US,M
2591,3166,2022,SE,FT,Data Scientist,215300,US,100,US,L
340,1098,2023,SE,FT,Data Scientist,200160,US,0,US,M
1981,2971,2022,SE,FT,Data Scientist,203500,US,0,US,M
1958,2953,2022,MI,FT,Data Scientist,225000,US,0,US,M
255,1001,2023,SE,FT,Data Scientist,136000,US,100,US,M
2350,3453,2022,MI,FT,Data Scientist,33609,PL,100,PL,L
1964,2947,2022,SE,FT,Data Scientist,119300,US,0,US,L
1965,2946,2022,SE,FT,Data Scientist,160000,US,0,US,L
1966,2968,2022,EN,FT,Data Scientist,82000,US,0,US,L
2349,3469,2022,MI,FT,Data Scientist,120402,CH,0,CH,L
2348,3479,2022,MI,FL,Data Scientist,100000,CA,100,US,M
2347,3481,2022,EN,PT,Data Scientist,100000,DZ,50,DZ,M
256,1012,2023,SE,FT,Data Scientist,129300,US,0,US,M
257,1011,2023,SE,FT,Data Scientist,185900,US,0,US,M
2341,2623,2022,SE,FT,Data Scientist,129300,US,0,US,M
1978,2985,2022,MI,FT,Data Scientist,89306,NL,0,NL,M
1979,2984,2022,MI,FT,Data Scientist,115573,NL,0,NL,M
2173,2734,2022,SE,FT,Data Scientist,128000,US,100,US,M
1956,2955,2022,MI,FT,Data Scientist,54634,NL,100,NL,S
2174,2733,2022,SE,FT,Data Scientist,148000,US,100,US,M
2337,3462,2022,MI,FT,Data Scientist,135000,US,100,US,L
1984,2979,2022,SE,FT,Data Scientist,120000,US,100,US,M
1985,2978,2022,SE,FT,Data Scientist,170000,US,100,US,M
2177,2756,2022,SE,FT,Data Scientist,191475,US,100,US,M
2335,3449,2022,SE,FT,Data Scientist,165000,US,100,US,M
306,902,2023,SE,FT,Data Scientist,201000,US,0,US,M
1991,2972,2022,SE,FT,Data Scientist,152000,US,0,US,M
1992,2837,2022,EN,FT,Data Scientist,73000,US,0,US,M
305,903,2023,SE,FT,Data Scientist,122000,US,0,US,M
2328,3433,2022,MI,FT,Data Scientist,67597,CA,100,CA,M
2324,3438,2022,EN,FT,Data Scientist,51081,CA,100,CA,L
2323,3439,2022,MI,FT,Data Scientist,78000,US,100,US,M
2319,3443,2022,EN,FT,Data Scientist,40000,JP,100,MY,L
1957,2954,2022,MI,FT,Data Scientist,160000,US,0,US,M
1955,2969,2022,EN,PT,Data Scientist,110000,DO,100,FR,M
2410,3401,2022,SE,FT,Data Scientist,140000,US,100,US,M
1931,3025,2022,SE,FT,Data Scientist,88100,US,0,US,M
2409,3402,2022,MI,FT,Data Scientist,172386,GB,0,GB,M
2408,3403,2022,MI,FT,Data Scientist,86193,GB,0,GB,M
242,966,2023,SE,FT,Data Scientist,150000,US,0,US,M
243,965,2023,SE,FT,Data Scientist,38631,ES,0,ES,M
2405,3406,2022,MI,FT,Data Scientist,200000,US,100,US,M
2404,3407,2022,MI,FT,Data Scientist,120000,US,100,US,M
244,964,2023,SE,FT,Data Scientist,48289,ES,0,ES,M
2397,3414,2022,SE,FT,Data Scientist,185100,US,100,US,M
2396,3415,2022,SE,FT,Data Scientist,104890,US,100,US,M
1923,3034,2022,EN,FT,Data Scientist,84053,BE,100,BE,L
2168,2739,2022,SE,FT,Data Scientist,191475,US,100,US,M
1925,3028,2022,SE,FT,Data Scientist,205000,US,0,US,M
1926,3027,2022,SE,FT,Data Scientist,245000,US,0,US,M
249,959,2023,SE,FT,Data Scientist,186000,US,0,US,M
1932,3024,2022,SE,FT,Data Scientist,123400,US,0,US,M
2354,3451,2022,SE,FT,Data Scientist,100000,BR,100,US,M
2388,3423,2022,MI,FT,Data Scientist,30523,IN,100,IN,L
2386,3396,2022,SE,FT,Data Scientist,230000,US,100,US,M
2385,3374,2022,SE,FT,Data Scientist,210000,US,100,US,M
2384,3375,2022,SE,FT,Data Scientist,140000,US,100,US,M
2383,3376,2022,SE,FT,Data Scientist,210000,US,100,US,M
2382,3377,2022,SE,FT,Data Scientist,140000,US,100,US,M
2381,3378,2022,SE,FT,Data Scientist,210000,US,100,US,M
2380,3379,2022,SE,FT,Data Scientist,140000,US,100,US,M
2377,3382,2022,SE,FT,Data Scientist,210000,US,100,US,M
2376,3383,2022,SE,FT,Data Scientist,140000,US,100,US,M
2375,3397,2022,SE,FT,Data Scientist,140000,US,100,US,M
2138,2822,2022,SE,FT,Data Scientist,179400,US,0,US,M
250,958,2023,SE,FT,Data Scientist,260000,US,0,US,M
2360,3426,2022,EN,FT,Data Scientist,17805,IN,100,IN,M
266,1002,2023,SE,FT,Data Scientist,104000,US,100,US,M
2315,3472,2022,MI,FT,Data Scientist,48000,RU,100,US,S
2311,3448,2022,EN,FT,Data Scientist,83171,AU,50,AU,M
2228,3321,2022,SE,FT,Data Scientist,144000,US,100,US,M
2255,3320,2022,SE,FT,Data Scientist,176000,US,100,US,M
2072,2653,2022,MI,FT,Data Scientist,115360,US,100,US,M
2122,2785,2022,MI,FT,Data Scientist,102200,GB,100,GB,M
2073,2673,2022,SE,FT,Data Scientist,144000,US,100,US,M
2074,2662,2022,MI,FT,Data Scientist,108000,US,50,US,L
2075,2672,2022,SE,FT,Data Scientist,198440,US,100,US,M
2244,3347,2022,MI,FT,Data Scientist,102100,US,0,US,M
2121,2786,2022,EN,FT,Data Scientist,22892,IN,50,IN,M
2242,3360,2022,SE,FT,Data Scientist,230000,US,100,US,M
2241,3361,2022,SE,FT,Data Scientist,150000,US,100,US,M
2236,3366,2022,MI,FT,Data Scientist,160000,US,100,US,M
2235,3367,2022,MI,FT,Data Scientist,130000,US,100,US,M
2231,3346,2022,MI,FT,Data Scientist,141300,US,0,US,M
2086,2654,2022,MI,FT,Data Scientist,83171,AU,0,AU,L
2223,3326,2022,SE,FT,Data Scientist,205300,US,0,US,M
2309,3266,2022,SE,FT,Data Scientist,136620,US,100,US,M
2222,3327,2022,SE,FT,Data Scientist,140400,US,0,US,M
288,920,2023,SE,FT,Data Scientist,275300,US,100,US,M
287,921,2023,SE,FT,Data Scientist,183000,US,100,US,M
2188,2771,2022,SE,FT,Data Scientist,141525,US,100,US,M
2201,2758,2022,SE,FT,Data Scientist,191475,US,100,US,M
2200,2759,2022,SE,FT,Data Scientist,141525,US,100,US,M
2199,2760,2022,SE,FT,Data Scientist,191475,US,100,US,M
2198,2761,2022,SE,FT,Data Scientist,141525,US,100,US,M
271,997,2023,MI,FT,Data Scientist,40000,FR,50,FR,L
2195,2764,2022,SE,FT,Data Scientist,207000,US,100,US,M
2194,2765,2022,SE,FT,Data Scientist,153000,US,100,US,M
2193,2766,2022,SE,FT,Data Scientist,191475,US,100,US,M
2192,2767,2022,SE,FT,Data Scientist,141525,US,100,US,M
2191,2757,2022,SE,FT,Data Scientist,141525,US,100,US,M
2256,3319,2022,SE,FT,Data Scientist,140400,US,0,US,L
2257,3318,2022,SE,FT,Data Scientist,205300,US,0,US,L
2258,3280,2022,SE,FT,Data Scientist,167000,US,100,US,M
2066,2642,2022,SE,FT,Data Scientist,185000,US,100,US,M
2179,2769,2022,SE,FT,Data Scientist,141525,US,100,US,M
2013,2682,2022,SE,FT,Data Scientist,144000,US,0,US,L
2014,2681,2022,SE,FT,Data Scientist,198440,US,0,US,L
2127,2823,2022,SE,FT,Data Scientist,154000,US,0,US,M
2017,2678,2022,MI,FT,Data Scientist,75648,DE,100,DE,S
2306,3295,2022,SE,FT,Data Scientist,95550,US,0,US,M
2296,3294,2022,SE,FT,Data Scientist,150000,US,0,US,M
2023,2726,2022,SE,FT,Data Scientist,159200,US,100,US,L
2024,2725,2022,SE,FT,Data Scientist,236900,US,100,US,L
2031,2718,2022,SE,FT,Data Scientist,159000,US,0,US,L
2032,2717,2022,SE,FT,Data Scientist,215000,US,0,US,L
2037,2712,2022,MI,FT,Data Scientist,10000,TR,0,TR,M
2280,3268,2022,SE,FT,Data Scientist,110820,GB,0,GB,M
2279,3269,2022,SE,FT,Data Scientist,98506,GB,0,GB,M
2278,3270,2022,SE,FT,Data Scientist,146000,US,100,US,M
294,914,2023,SE,FT,Data Scientist,190000,US,0,US,M
2277,3271,2022,SE,FT,Data Scientist,123000,US,100,US,M
2048,2633,2022,SE,FT,Data Scientist,175000,US,100,US,M
2051,2630,2022,SE,FT,Data Scientist,225000,US,0,US,M
2052,2631,2022,SE,FT,Data Scientist,156400,US,0,US,M
2268,3281,2022,SE,FT,Data Scientist,123000,US,100,US,M
2057,2645,2022,SE,FT,Data Scientist,37824,ES,0,ES,M
2058,2632,2022,SE,FT,Data Scientist,200000,US,100,US,M
2060,2652,2022,MI,FT,Data Scientist,144200,US,100,US,M
2265,3284,2022,SE,FT,Data Scientist,211500,US,100,US,M
293,915,2023,SE,FT,Data Scientist,136000,US,0,US,M
2063,2644,2022,SE,FT,Data Scientist,47280,ES,0,ES,M
2064,2643,2022,SE,FT,Data Scientist,50000,US,100,US,M
2264,3285,2022,SE,FT,Data Scientist,138600,US,100,US,M
2167,2740,2022,SE,FT,Data Scientist,141525,US,100,US,M
2411,3400,2022,SE,FT,Data Scientist,220000,US,100,US,M
1663,501,2023,SE,FT,Data Scientist,225000,US,0,US,M
1762,583,2023,MI,FT,Data Scientist,85066,GB,0,GB,M
2559,3241,2022,MI,FT,Data Scientist,36940,GB,0,GB,M
2558,3252,2022,SE,FT,Data Scientist,180000,US,0,US,L
2551,3260,2022,MI,FT,Data Scientist,130000,US,0,US,M
2550,3261,2022,MI,FT,Data Scientist,90000,US,0,US,M
2547,3253,2022,SE,FT,Data Scientist,120000,US,0,US,L
1747,613,2023,SE,FT,Data Scientist,172000,US,0,US,M
2546,3240,2022,MI,FT,Data Scientist,61566,GB,0,GB,M
2541,3216,2022,SE,FT,Data Scientist,260000,US,100,US,M
2540,3217,2022,SE,FT,Data Scientist,180000,US,100,US,M
2539,3218,2022,MI,FT,Data Scientist,67723,GB,0,GB,M
2538,3219,2022,MI,FT,Data Scientist,43096,GB,0,GB,M
1759,586,2023,MI,FT,Data Scientist,72914,GB,0,GB,M
1760,585,2023,MI,FT,Data Scientist,109371,GB,0,GB,M
1761,584,2023,MI,FT,Data Scientist,51039,GB,0,GB,M
1763,582,2023,EN,FT,Data Scientist,120000,US,0,US,M
2567,3244,2022,SE,FT,Data Scientist,165220,US,100,US,M
1764,581,2023,EN,FT,Data Scientist,190000,US,0,US,M
1765,580,2023,MI,FT,Data Scientist,51039,GB,0,GB,M
1766,579,2023,MI,FT,Data Scientist,78990,GB,0,GB,M
1773,591,2023,EN,FT,Data Scientist,121093,CH,50,CH,L
2526,3232,2022,SE,FT,Data Scientist,180000,US,0,US,M
2525,3233,2022,SE,FT,Data Scientist,80000,US,0,US,M
1778,607,2023,SE,FT,Data Scientist,201036,US,0,US,M
1780,604,2023,MI,FT,Data Scientist,60093,AT,100,DE,M
1782,608,2023,SE,FT,Data Scientist,134024,US,0,US,M
1788,2907,2022,SE,FT,Data Scientist,141525,US,0,US,M
1789,2909,2022,EN,FT,Data Scientist,31520,ES,50,ES,M
1791,2941,2022,SE,FT,Data Scientist,175000,US,0,US,M
1793,2905,2022,SE,FT,Data Scientist,141525,US,100,US,M
1794,2906,2022,SE,FT,Data Scientist,191475,US,0,US,M
2566,3245,2022,SE,FT,Data Scientist,120160,US,100,US,M
2570,3213,2022,SE,FT,Data Scientist,140400,US,0,US,L
2412,3267,2022,SE,FT,Data Scientist,99360,US,100,US,M
1696,635,2023,SE,FT,Data Scientist,186300,US,100,US,M
2648,2053,2022,SE,FT,Data Scientist,110000,US,100,US,M
204,1293,2023,SE,FT,Data Scientist,135000,US,100,US,M
205,1292,2023,SE,FT,Data Scientist,145000,US,100,US,M
2636,2065,2022,SE,FT,Data Scientist,165000,US,0,US,M
2635,2066,2022,SE,FT,Data Scientist,125000,US,0,US,M
1674,502,2023,SE,FT,Data Scientist,175000,US,0,US,M
1676,487,2023,SE,FT,Data Scientist,170000,US,100,US,M
2624,2622,2022,SE,FT,Data Scientist,185900,US,0,US,M
334,930,2023,SE,FT,Data Scientist,175000,US,100,US,M
333,931,2023,SE,FT,Data Scientist,160000,US,100,US,M
1686,489,2023,SE,FT,Data Scientist,170730,US,0,US,M
1687,488,2023,SE,FT,Data Scientist,317070,US,0,US,M
1692,639,2023,SE,FT,Data Scientist,190000,US,0,US,M
1695,636,2023,SE,FT,Data Scientist,102500,US,100,US,M
1697,634,2023,SE,FT,Data Scientist,159832,US,0,US,M
2571,3212,2022,SE,FT,Data Scientist,215300,US,0,US,L
1698,633,2023,SE,FT,Data Scientist,239748,US,0,US,M
1704,626,2023,SE,FT,Data Scientist,190000,CA,0,CA,M
1706,625,2023,SE,FT,Data Scientist,258000,CA,0,CA,M
2189,2770,2022,SE,FT,Data Scientist,191475,US,100,US,M
1711,620,2023,SE,FT,Data Scientist,145000,US,100,US,M
1712,619,2023,SE,FT,Data Scientist,237000,US,100,US,M
2590,3167,2022,SE,FT,Data Scientist,158200,US,100,US,L
1717,614,2023,SE,FT,Data Scientist,115000,US,0,US,M
1718,640,2023,SE,FT,Data Scientist,126000,US,0,US,M
2580,3177,2022,SE,FT,Data Scientist,170000,US,100,US,M
1722,668,2023,SE,FT,Data Scientist,120000,US,0,US,M
1723,667,2023,SE,FT,Data Scientist,175000,US,0,US,M
2579,3178,2022,SE,FT,Data Scientist,123000,US,100,US,M
443,1050,2023,SE,FT,Data Scientist,149076,US,0,US,M
2163,2744,2022,SE,FT,Data Scientist,145300,US,0,US,M
1796,2904,2022,SE,FT,Data Scientist,191475,US,100,US,M
2505,3089,2022,SE,FT,Data Scientist,160000,US,0,US,L
1881,2874,2022,SE,FT,Data Scientist,130240,US,0,US,M
1853,2852,2022,SE,FT,Data Scientist,172000,US,100,US,M
2143,2817,2022,SE,FT,Data Scientist,165000,US,100,US,L
1855,2853,2022,SE,FT,Data Scientist,140000,US,100,US,M
2452,3147,2022,SE,FT,Data Scientist,148800,US,0,US,M
1864,2879,2022,SE,FT,Data Scientist,179400,US,100,US,M
1868,2886,2022,SE,FT,Data Scientist,141525,US,100,US,M
1869,2885,2022,SE,FT,Data Scientist,191475,US,100,US,M
1870,2884,2022,SE,FT,Data Scientist,141525,US,100,US,M
1871,2883,2022,SE,FT,Data Scientist,191475,US,100,US,M
1872,2882,2022,SE,FT,Data Scientist,141525,US,100,US,M
1873,2881,2022,SE,FT,Data Scientist,191475,US,100,US,M
1874,2880,2022,SE,FT,Data Scientist,154000,US,100,US,M
2442,3146,2022,SE,FT,Data Scientist,186000,US,0,US,M
1879,2841,2022,SE,FT,Data Scientist,136994,US,100,US,M
1882,2873,2022,SE,FT,Data Scientist,151800,US,0,US,M
1799,2901,2022,SE,FT,Data Scientist,141525,US,100,US,M
2434,3109,2022,SE,FT,Data Scientist,160000,US,100,US,L
1884,2871,2022,EN,FT,Data Scientist,50000,US,50,DE,M
1885,2842,2022,SE,FT,Data Scientist,101570,US,100,US,M
1886,2870,2022,MI,FT,Data Scientist,73546,NL,50,NL,L
1887,2942,2022,SE,FT,Data Scientist,140000,US,0,US,M
2433,3110,2022,SE,FT,Data Scientist,92000,US,100,US,L
1893,2836,2022,EN,FT,Data Scientist,93000,US,0,US,M
2424,3121,2022,SE,FT,Data Scientist,160000,US,0,US,L
2423,3122,2022,SE,FT,Data Scientist,119300,US,0,US,L
2421,3124,2022,MI,FT,Data Scientist,25000,TR,50,TR,M
326,938,2023,SE,FT,Data Scientist,225000,US,0,US,M
2417,3128,2022,MI,FT,Data Scientist,153000,US,100,US,L
325,939,2023,SE,FT,Data Scientist,156400,US,0,US,M
241,967,2023,SE,FT,Data Scientist,120000,US,0,US,M
2463,3135,2022,SE,FT,Data Scientist,92000,US,100,US,L
2464,3134,2022,SE,FT,Data Scientist,160000,US,100,US,L
2467,3102,2022,MI,FT,Data Scientist,80036,GB,50,GB,M
2469,3074,2022,EN,FT,Data Scientist,52008,BE,50,BE,S
1800,2900,2022,SE,FT,Data Scientist,191475,US,100,US,M
1803,2897,2022,SE,FT,Data Scientist,141525,US,100,US,M
1805,2896,2022,SE,FT,Data Scientist,191475,US,100,US,M
1806,2895,2022,SE,FT,Data Scientist,141525,US,100,US,M
1807,2894,2022,SE,FT,Data Scientist,191475,US,100,US,M
1809,2936,2022,SE,FT,Data Scientist,130000,US,100,US,M
2498,3097,2022,MI,FT,Data Scientist,60938,DE,100,DE,S
1813,2929,2022,SE,FT,Data Scientist,141525,US,100,US,M
1815,2928,2022,SE,FT,Data Scientist,191475,US,100,US,M
1816,2927,2022,SE,FT,Data Scientist,141525,US,100,US,M
1817,2926,2022,SE,FT,Data Scientist,191475,US,100,US,M
1818,2925,2022,SE,FT,Data Scientist,141525,US,100,US,M
1819,2924,2022,SE,FT,Data Scientist,191475,US,100,US,M
1820,2922,2022,MI,FT,Data Scientist,110820,GB,0,GB,M
1821,2921,2022,MI,FT,Data Scientist,118208,GB,0,GB,M
2494,3090,2022,SE,FT,Data Scientist,100000,US,0,US,L
1824,2918,2022,SE,FT,Data Scientist,136100,US,0,US,M
1827,2917,2022,SE,FT,Data Scientist,204100,US,0,US,M
2488,3053,2022,SE,FT,Data Scientist,180000,US,100,US,L
2487,3054,2022,SE,FT,Data Scientist,140000,US,100,US,L
1832,2935,2022,SE,FT,Data Scientist,170000,US,100,US,M
225,899,2023,SE,FT,Data Scientist,129300,US,0,US,M
2481,3061,2022,MI,FT,Data Scientist,53416,IN,100,ID,L
2478,3065,2022,MI,FT,Data Scientist,131752,GB,100,GB,M
2144,2816,2022,SE,FT,Data Scientist,180000,US,100,US,L
1841,2847,2022,SE,FT,Data Scientist,191475,US,100,US,M
1844,2866,2022,SE,FT,Data Scientist,141525,US,100,US,M
1845,2848,2022,SE,FT,Data Scientist,141525,US,100,US,M
1846,2865,2022,SE,FT,Data Scientist,191475,US,100,US,M
549,1620,2023,SE,FT,Data Scientist,153400,US,0,US,M
1352,785,2023,SE,FT,Data Scientist,239748,US,0,US,M
2155,2752,2022,SE,FT,Data Scientist,191475,US,100,US,M
3363,2374,2022,SE,FT,Data Scientist,350000,US,100,US,M
953,318,2023,SE,FT,Data Scientist,165000,US,0,US,M
954,288,2023,SE,FT,Data Scientist,170000,US,0,US,M
3362,2375,2022,SE,FT,Data Scientist,135000,US,100,US,M
104,1166,2023,EN,FT,Data Scientist,19522,BR,100,BR,L
3634,3467,2021,EN,FT,Data Scientist,80000,US,100,US,M
957,244,2023,SE,FT,Data Scientist,145000,US,0,US,M
3356,2263,2022,SE,FT,Data Scientist,148000,US,100,US,M
473,1652,2023,SE,FT,Data Scientist,105200,US,0,US,M
500,1682,2023,SE,FT,Data Scientist,84000,US,100,US,M
30,1230,2023,EN,FT,Data Scientist,9727,IN,0,IN,L
689,1445,2023,SE,FT,Data Scientist,63312,CY,50,EE,L
688,1429,2023,SE,FT,Data Scientist,225000,US,100,US,M
